bulan_bayar,Claim_Frequency,Total_Claim,Claim_Severity,Unique_Policies,Avg_Usia,Avg_Tenure_Months
2024-01,10,164352584.0,16435258.4,8,54.0,121.7
2024-02,92,2684171054.1294312,29175772.327493817,63,53.73913043478261,108.55434782608695
2024-03,97,3809944312.66,39277776.41917526,57,48.36082474226804,112.25773195876289
2024-04,222,9281763484.01,41809745.42346847,132,48.23873873873874,112.8018018018018
2024-05,236,11195341007.906626,47437885.62672299,147,48.355932203389834,111.63135593220339
2024-06,229,12411150719.88,54197164.71563318,130,47.41048034934498,114.65065502183405
2024-07,209,12003738256.300013,57434154.336363696,125,49.55502392344498,115.55023923444976
2024-08,285,18959889251.57,66525927.19849123,171,49.10526315789474,116.68771929824561
2024-09,250,14842499660.45,59369998.6418,152,49.944,116.928
2024-10,243,11142691626.95,45854698.053292185,147,49.03703703703704,121.33744855967078
2024-11,365,17403957394.59,47682075.05367123,208,49.76986301369863,119.82739726027397
2024-12,296,14102025868.97,47641979.28706081,172,50.777027027027025,118.64864864864865
2025-01,293,16972526479.06,57926711.532627985,163,49.66211604095563,120.87713310580205
2025-02,183,9559584625.92,52238167.3547541,123,48.994535519125684,122.35519125683061
2025-03,234,14941053536.46,63850656.13871794,147,49.53846153846154,126.64102564102564
2025-04,185,7801757435.849999,42171661.8154054,110,49.78378378378378,124.31351351351351
2025-05,205,9786358526.85,47738334.27731708,132,47.64390243902439,125.6780487804878
2025-06,212,17404378883.12,82096126.80716981,128,51.12264150943396,125.47169811320755
2025-07,276,19099626708.41,69201546.04496376,152,48.33695652173913,124.51811594202898
2025-08,245,15468959607.539999,63138610.64302041,134,51.391836734693875,129.18775510204082
2025-09,197,10410727558.44,52846332.783959396,124,51.857868020304565,129.23350253807106
2025-10,58,4900102483.74,84484525.58172414,43,45.741379310344826,130.93103448275863
2025-11,3,135632214.54000002,45210738.18000001,3,66.66666666666667,127.66666666666667
2025-12,2,136600271.63,68300135.815,2,27.0,126.0
